Ticker,ClosingPrice,EPS,BVPS,GrahamNumber
DG,22.73,0.14470493417024818,2.73941124260355,2.986493308102188
DHR,51.0,0.09260616661209825,2.976504542875356,2.490373506410556
DIS,41.25,0.17866526422488577,11.288545190913485,6.736437890911281
DLX,26.5,0.433575693881409,6.098551327372288,7.713243904306969
DOV,47.88,0.6501068245485995,10.558252834114903,12.4273820659169
DOW,49.8,,,
DRI,17.81,0.10337072292941292,4.986687548942835,3.405619426997058
DTE,29.19,0.7750308536650722,26.76551724137931,21.6042192110338
DUK,52.5,1.317657152465796,38.92238224663293,33.96973646588064
DXC,62.25,0.5124988949501268,18.12329595504584,14.456272198282642
EC,24.75,,,
ECL,36.69,0.16198068761634288,3.056706787442611,3.3377189836187036
ED,29.13,0.790419998824315,26.76799437584243,21.818663040373476
EDS,7.21,,,
EFU,71.0,,,
